gpt	(1024, 2048, 2560, 32, 32)	64	8	(True, True, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	128	8	(True, True, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	256	8	(True, True, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	64	8	(True, True, 16, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	128	8	(True, True, 16, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	64	8	(True, False, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	128	8	(True, False, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	256	8	(True, False, 8, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	64	8	(True, False, 16, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
gpt	(1024, 2048, 2560, 32, 32)	128	8	(True, False, 16, {'submesh_physical_shape_space': 'small_power_of_two', 'submesh_logical_shape_space': 'all', 'stage_imbalance_tolerance': 1.0, 'use_hlo_cost_model': True, 'profiling_database_filename': 'prof_database.pkl'})	-1.000s	0.000	-0.000B	-1.00	-1.00	-0.000G	None	1024
